None,9,400,100,0.001,0.85,0.6441875,0.64290583
None,9,200,200,0.01,0.9,0.66167384,0.66179276
None,7,200,50,0.0005,0.9,0.6807978,0.6813861
None,6,600,100,0.001,0.9,0.69896364,0.69883335
None,9,200,150,0.01,0.85,0.33977807,0.3399622
None,8,200,100,0.01,0.9,0.6916797,0.69119745
None,5,600,100,0.0005,0.85,0.7183467,0.71647125
None,6,200,150,0.01,0.9,0.6284513,0.6268885
None,6,200,50,0.005,0.9,0.6693684,0.66929424
None,9,400,200,0.001,0.95,0.47767892,0.4765753
None,6,200,150,0.001,0.85,0.53918654,0.5378313
None,8,400,200,0.0005,0.9,0.69336134,0.6916032
None,9,400,200,0.0005,0.95,0.673817,0.67145014
None,7,400,100,0.0005,0.85,0.6825479,0.6806259
None,7,600,150,0.0005,0.85,0.5748436,0.57136923
None,5,400,100,0.01,0.85,0.6477122,0.6474742
None,5,400,200,0.01,0.95,0.6269065,0.62641674
None,5,600,50,0.001,0.9,0.5824355,0.57986796
None,9,400,50,0.01,0.95,0.6890741,0.6882179
None,8,200,200,0.005,0.95,0.65463924,0.65498793
None,9,200,200,0.001,0.9,0.6593469,0.65920675
None,9,400,50,0.005,0.85,0.6789597,0.6788489
None,10,400,150,0.01,0.9,0.67891085,0.67851406
None,5,200,100,0.0005,0.9,0.6231375,0.62322944
None,9,200,50,0.01,0.9,0.7020434,0.70070565
None,7,200,100,0.001,0.9,0.670439,0.6704015
None,9,400,50,0.005,0.9,0.4924472,0.4927246
None,10,400,150,0.01,0.95,0.3418606,0.34214985
None,6,600,150,0.0005,0.85,0.39980936,0.39877883
None,6,400,150,0.005,0.85,0.6404576,0.63779974
None,8,600,200,0.005,0.95,0.6718615,0.67125946
None,5,200,100,0.01,0.95,0.62792826,0.62744826
None,10,200,50,0.01,0.85,0.6717051,0.6718339
None,6,400,50,0.01,0.9,0.7047419,0.7032062
None,6,400,50,0.005,0.9,0.6911664,0.690931
None,7,200,150,0.001,0.9,0.6672028,0.66477966
None,8,200,150,0.01,0.95,0.69930094,0.6989653
None,7,200,50,0.01,0.9,0.67096204,0.667505
None,9,600,150,0.001,0.9,0.7032069,0.703431
None,8,400,150,0.0005,0.85,0.7011048,0.70112854
None,10,400,200,0.01,0.95,0.5782167,0.5752972
None,9,600,50,0.0005,0.85,0.70461476,0.70327216
None,6,400,50,0.0005,0.9,0.6322644,0.63033
None,10,600,100,0.01,0.85,0.66698277,0.6663587
None,6,200,200,0.001,0.85,0.63863903,0.6368636
None,8,600,50,0.0005,0.9,0.5554654,0.5559238
None,9,400,200,0.01,0.85,0.663116,0.6635184
None,7,400,100,0.001,0.85,0.68268967,0.68211204
None,5,400,50,0.001,0.85,0.70061594,0.70004815
None,10,400,150,0.0005,0.9,0.37766916,0.37767985
None,5,400,100,0.005,0.9,0.7039646,0.70343345
None,10,400,100,0.01,0.9,0.67937034,0.6770695
None,10,600,200,0.001,0.95,0.6641914,0.66395843
None,7,600,200,0.01,0.9,0.66867423,0.66823834
None,5,400,50,0.001,0.95,0.71464115,0.71287084
None,8,600,100,0.001,0.9,0.6956443,0.69601756
None,5,200,150,0.005,0.85,0.57084966,0.56912047
None,5,200,150,0.01,0.85,0.6343127,0.63179415
None,7,200,50,0.005,0.95,0.70191634,0.6998355
None,9,400,100,0.001,0.9,0.6768723,0.6759745
None,6,600,100,0.005,0.95,0.63934296,0.63875306
None,10,600,50,0.001,0.85,0.68862927,0.68697125
None,9,400,50,0.005,0.9,0.68190753,0.6818407
None,9,200,100,0.01,0.9,0.6510657,0.6496325
None,7,200,50,0.001,0.9,0.34162593,0.34179786
